three_character,group,sub_chapter,chapter
A00,Cholera,Intestinal indectious diseases,Certain infectious and parasitic diseases
A01,Typhoid and paratyphoid fevers,Intestinal indectious diseases,Certain infectious and parasitic diseases
A02,Other salmonella infections,Intestinal indectious diseases,Certain infectious and parasitic diseases
A03,Shigellosis,Intestinal indectious diseases,Certain infectious and parasitic diseases
A04,Other bacterial intestinal infections,Intestinal indectious diseases,Certain infectious and parasitic diseases
A05,Other bacterial foodborne intoxications,Intestinal indectious diseases,Certain infectious and parasitic diseases
A06,Amoebiasis,Intestinal indectious diseases,Certain infectious and parasitic diseases
A07,Other protozoal intestinal diseases,Intestinal indectious diseases,Certain infectious and parasitic diseases
A08,Viral and other specified intestinal infections,Intestinal indectious diseases,Certain infectious and parasitic diseases
A09,Diarrhoea and gastroenteritis of presumed infectious origin,Intestinal indectious diseases,Certain infectious and parasitic diseases
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Tuberculosis,Certain infectious and parasitic diseases
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Tuberculosis,Certain infectious and parasitic diseases
A17,Tuberculosis of nervous system,Tuberculosis,Certain infectious and parasitic diseases
A18,Tuberculosis of other organs,Tuberculosis,Certain infectious and parasitic diseases
A19,Miliary tuberculosis,Tuberculosis,Certain infectious and parasitic diseases
A20,Plague,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A21,Tularaemia,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A22,Anthrax,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A23,Brucellosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A24,Glanders and melioidosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A25,Rat-bite fevers,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A26,Erysipeloid,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A27,Leptospirosis,Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Certain zoonotic bacterial diseases,Certain infectious and parasitic diseases
A30,Leprosy [Hansen's disease],Other bacterial diseases,Certain infectious and parasitic diseases
A31,Infection due to other mycobacteria,Other bacterial diseases,Certain infectious and parasitic diseases
A32,Listeriosis,Other bacterial diseases,Certain infectious and parasitic diseases
A33,Tetanus neonatorum,Other bacterial diseases,Certain infectious and parasitic diseases
A34,Obstetrical tetanus,Other bacterial diseases,Certain infectious and parasitic diseases
A35,Other tetanus,Other bacterial diseases,Certain infectious and parasitic diseases
A36,Diphtheria,Other bacterial diseases,Certain infectious and parasitic diseases
A37,Whooping cough,Other bacterial diseases,Certain infectious and parasitic diseases
A38,Scarlet fever,Other bacterial diseases,Certain infectious and parasitic diseases
A39,Meningococcal infection,Other bacterial diseases,Certain infectious and parasitic diseases
A40,Streptococcal septicaemia,Other bacterial diseases,Certain infectious and parasitic diseases
A41,Other septicaemia,Other bacterial diseases,Certain infectious and parasitic diseases
A42,Actinomycosis,Other bacterial diseases,Certain infectious and parasitic diseases
A43,Nocardiosis,Other bacterial diseases,Certain infectious and parasitic diseases
A44,Bartonellosis,Other bacterial diseases,Certain infectious and parasitic diseases
A46,Erysipelas,Other bacterial diseases,Certain infectious and parasitic diseases
A48,"Other bacterial diseases, not elsewhere classified",Other bacterial diseases,Certain infectious and parasitic diseases
A49,Bacterial infection of unspecified site,Other bacterial diseases,Certain infectious and parasitic diseases
A50,Congenital syphilis,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A51,Early syphilis,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A52,Late syphilis,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A53,Other and unspecified syphilis,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A54,Gonococcal infection,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A55,Chlamydial lymphogranuloma (venereum),Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A56,Other sexually transmitted chlamydial diseases,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A57,Chancroid,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A58,Granuloma inguinale,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A59,Trichomoniasis,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A60,Anogenital herpesviral [herpes simplex] infection,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A64,Unspecified sexually transmitted disease,Infections with a predominantly sexual mode of transmission,Certain infectious and parasitic diseases
A65,Nonvenereal syphilis,Other spirochaetal diseases,Certain infectious and parasitic diseases
A66,Yaws,Other spirochaetal diseases,Certain infectious and parasitic diseases
A67,Pinta [carate],Other spirochaetal diseases,Certain infectious and parasitic diseases
A68,Relapsing fevers,Other spirochaetal diseases,Certain infectious and parasitic diseases
A69,Other spirochaetal infections,Other spirochaetal diseases,Certain infectious and parasitic diseases
A70,Chlamydia psittaci infection,Other diseases caused by chlamydiae,Certain infectious and parasitic diseases
A71,Trachoma,Other diseases caused by chlamydiae,Certain infectious and parasitic diseases
A74,Other diseases caused by chlamydiae,Other diseases caused by chlamydiae,Certain infectious and parasitic diseases
A75,Typhus fever,Rickettsioses,Certain infectious and parasitic diseases
A77,Spotted fever [tick-borne rickettsioses],Rickettsioses,Certain infectious and parasitic diseases
A78,Q fever,Rickettsioses,Certain infectious and parasitic diseases
A79,Other rickettsioses,Rickettsioses,Certain infectious and parasitic diseases
A80,Acute poliomyelitis,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A81,Slow virus infections of central nervous system,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A82,Rabies,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A83,Mosquito-borne viral encephalitis,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A84,Tick-borne viral encephalitis,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A85,"Other viral encephalitis, not elsewhere classified",Viral infections of the central nervous system,Certain infectious and parasitic diseases
A86,Unspecified viral encephalitis,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A87,Viral meningitis,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A88,"Other viral infections of central nervous system, not elsewhere classified",Viral infections of the central nervous system,Certain infectious and parasitic diseases
A89,Unspecified viral infection of central nervous system,Viral infections of the central nervous system,Certain infectious and parasitic diseases
A90,Dengue fever [classical dengue],Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A91,Dengue haemorrhagic fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A92,Other mosquito-borne viral fevers,Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A94,Unspecified arthropod-borne viral fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A95,Yellow fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A96,Arenaviral haemorrhagic fever,Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Arthropod-borne viral fevers and viral haemorrhagic fevers,Certain infectious and parasitic diseases
A99,Unspecified viral haemorrhagic fever,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B00,Herpesviral [herpes simplex] infections,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B01,Varicella [chickenpox],Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B02,Zoster [herpes zoster],Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B03,Smallpox,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B04,Monkeypox,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B05,Measles,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B06,Rubella [German measles],Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B07,Viral warts,Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Viral infections characterised by skin and mucous membrane lesions,Certain infectious and parasitic diseases
B09,Unspecified viral infection characterized by skin and mucousmembrane lesions,Viral Hepatitis,Certain infectious and parasitic diseases
