three_character,group,sub_chapter
A00,Cholera,Certain infectious and parasitic diseaes
A01,Typhoid and paratyphoid fevers,Certain infectious and parasitic diseaes
A02,Other salmonella infections,Certain infectious and parasitic diseaes
A03,Shigellosis,Certain infectious and parasitic diseaes
A04,Other bacterial intestinal infections,Certain infectious and parasitic diseaes
A05,Other bacterial foodborne intoxications,Certain infectious and parasitic diseaes
A06,Amoebiasis,Certain infectious and parasitic diseaes
A07,Other protozoal intestinal diseases,Certain infectious and parasitic diseaes
A08,Viral and other specified intestinal infections,Certain infectious and parasitic diseaes
A09,Diarrhoea and gastroenteritis of presumed infectious origin,Certain infectious and parasitic diseaes
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Tuberculosis
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Tuberculosis
A17,Tuberculosis of nervous system,Tuberculosis
A18,Tuberculosis of other organs,Tuberculosis
A19,Miliary tuberculosis,Tuberculosis
A20,Plague,Certain zoonotic bacterial diseases
A21,Tularaemia,Certain zoonotic bacterial diseases
A22,Anthrax,Certain zoonotic bacterial diseases
A23,Brucellosis,Certain zoonotic bacterial diseases
A24,Glanders and melioidosis,Certain zoonotic bacterial diseases
A25,Rat-bite fevers,Certain zoonotic bacterial diseases
A26,Erysipeloid,Certain zoonotic bacterial diseases
A27,Leptospirosis,Certain zoonotic bacterial diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Certain zoonotic bacterial diseases
A30,Leprosy [Hansen's disease],Other bacterial diseases
A31,Infection due to other mycobacteria,Other bacterial diseases
A32,Listeriosis,Other bacterial diseases
A33,Tetanus neonatorum,Other bacterial diseases
A34,Obstetrical tetanus,Other bacterial diseases
A35,Other tetanus,Other bacterial diseases
A36,Diphtheria,Other bacterial diseases
A37,Whooping cough,Other bacterial diseases
A38,Scarlet fever,Other bacterial diseases
A39,Meningococcal infection,Other bacterial diseases
A40,Streptococcal septicaemia,Other bacterial diseases
A41,Other septicaemia,Other bacterial diseases
A42,Actinomycosis,Other bacterial diseases
A43,Nocardiosis,Other bacterial diseases
A44,Bartonellosis,Other bacterial diseases
A46,Erysipelas,Other bacterial diseases
A48,"Other bacterial diseases, not elsewhere classified",Other bacterial diseases
A49,Bacterial infection of unspecified site,Other bacterial diseases
A50,Congenital syphilis,Infections with a predominantly sexual mode of transmission
A51,Early syphilis,Infections with a predominantly sexual mode of transmission
A52,Late syphilis,Infections with a predominantly sexual mode of transmission
A53,Other and unspecified syphilis,Infections with a predominantly sexual mode of transmission
A54,Gonococcal infection,Infections with a predominantly sexual mode of transmission
A55,Chlamydial lymphogranuloma (venereum),Infections with a predominantly sexual mode of transmission
A56,Other sexually transmitted chlamydial diseases,Infections with a predominantly sexual mode of transmission
A57,Chancroid,Infections with a predominantly sexual mode of transmission
A58,Granuloma inguinale,Infections with a predominantly sexual mode of transmission
A59,Trichomoniasis,Infections with a predominantly sexual mode of transmission
A60,Anogenital herpesviral [herpes simplex] infection,Infections with a predominantly sexual mode of transmission
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infections with a predominantly sexual mode of transmission
A64,Unspecified sexually transmitted disease,Infections with a predominantly sexual mode of transmission
A65,Nonvenereal syphilis,Other spirochaetal diseases
A66,Yaws,Other spirochaetal diseases
A67,Pinta [carate],Other spirochaetal diseases
A68,Relapsing fevers,Other spirochaetal diseases
A69,Other spirochaetal infections,Other spirochaetal diseases
A70,Chlamydia psittaci infection,Other diseases caused by chlamydiae
A71,Trachoma,Other diseases caused by chlamydiae
A74,Other diseases caused by chlamydiae,Other diseases caused by chlamydiae
A75,Typhus fever,Rickettsioses
A77,Spotted fever [tick-borne rickettsioses],Rickettsioses
A78,Q fever,Rickettsioses
A79,Other rickettsioses,Rickettsioses
A80,Acute poliomyelitis,Viral infections of the central nervous system
A81,Slow virus infections of central nervous system,Viral infections of the central nervous system
A82,Rabies,Viral infections of the central nervous system
